ID,Name,Category,Subcategory,Country,Launched,Deadline,Goal,Pledged,Backers,State
1013617287,Hyundai Elantra Phone Holder,Design,Product Design,Canada,1/29/2014 15:52,3/30/2014,3175,42,3,Failed
1594636349,Kaginawa: its History & Use (Printed Hardback Version),Publishing,Nonfiction,United Kingdom,12/1/2017 15:22,1/10/2018,1364,578,19,Live
1142039124,Duncan's Delights.  Home-made cookies and more!!,Food,Food,United States,11/13/2015 7:20,12/10/2015,8000,85,3,Failed
222086843,ELEVEN,Film & Video,Documentary,United Kingdom,1/9/2014 12:01,2/24/2014,100306,17674,121,Failed
583932205,"""LightWave"" a new sculpture for AnnMarie Arts Center",Art,Sculpture,United States,9/17/2012 21:08,10/17/2012,1200,25,1,Failed
1825954767,"Kicking Around an Idea: ""Hack the Sack"" - BOOK",Publishing,Nonfiction,United States,5/8/2013 14:13,6/7/2013,24500,9846,108,Failed
739510997,BEER Dice!!,Design,Design,United States,6/16/2015 0:29,7/16/2015,5000,1721,36,Failed
1616241181,Start the Presses for The Emperor's Bridge Campaign T-Shirt!,Fashion,Apparel,United States,8/8/2015 4:16,9/7/2015,1000,3170,89,Successful
331216868,? SHIMMER ?,Film & Video,Shorts,United States,1/17/2013 3:18,2/16/2013,10000,100,1,Failed
223485571,Audio Story Telling Workshop,Journalism,Journalism,United States,2/9/2013 20:14,3/11/2013,3000,126,5,Failed
1573213415,MAMUSI - let's keep an eye out for each other. ;-),Design,Product Design,Germany,12/7/2015 15:06,1/10/2016,16371,1531,20,Failed
835803337,Luncheon,Technology,Apps,United Kingdom,11/1/2016 19:57,12/1/2016,12624,382,4,Failed
917781291,B-Squared: Beer & Bacon (Canceled),Food,Restaurants,United States,6/17/2015 5:01,7/17/2015,200000,0,0,Canceled
1042994471,"""Mascots"" the movie",Film & Video,Shorts,United States,9/20/2010 22:31,10/15/2010,2500,425,6,Failed
1850877275,Los Devilos Animation,Film & Video,Animation,United States,11/20/2015 23:52,12/20/2015,500,50,1,Failed
1947487012,Glacious LE - The First Affordable 60mm Ice Sphere Maker,Design,Product Design,United States,11/25/2014 18:56,12/25/2014,10000,15962,128,Successful
1436733534,Steel Wars - Robot supremacy (Minimalist design),Games,Playing Cards,Mexico,7/3/2017 1:24,8/12/2017,20689,43,2,Canceled
1077937146,"Chillistop - The healthy, vegan way to enhance your food",Food,Food,United Kingdom,1/7/2016 15:22,2/21/2016,5591,419,7,Failed
361276815,Tug O' Lords: A Fantasy Card Game About Momentum (Canceled),Games,Tabletop Games,United States,10/25/2013 20:40,11/24/2013,25000,2441,35,Canceled
1447728591,ArchAngels- Chronic Crash,Comics,Comic Books,United Kingdom,5/3/2017 16:49,5/23/2017,3852,45,1,Failed
213072386,Test,Film & Video,Documentary,Canada,11/26/2014 23:59,12/26/2014,128403,1494,11,Failed
1074954930,Lost and Found Project,Technology,Apps,United States,11/9/2016 19:55,12/9/2016,10000,5,1,Failed
850209692,The Zen Book of Hours,Art,Painting,United States,6/22/2011 17:31,7/22/2011,9000,9458,66,Successful
432712785,LumiXstand - LED Lighted Laptop/Tablet/Smartphone Stand,Design,Product Design,United States,3/28/2017 16:16,5/27/2017,10000,5152,68,Failed
922108010,No Umbrella Monster Print Publication,Publishing,Periodicals,United States,12/8/2010 22:22,3/8/2011,1000,0,0,Failed
1428439446,The Master Mason Book - The Third Degree of Freemasonry,Publishing,Nonfiction,United States,8/21/2017 8:20,9/25/2017,3600,4495,55,Successful
20470847,"Plan-et App for Web, iOS & Android",Technology,Apps,Australia,1/21/2015 3:27,2/20/2015,11769,279,10,Failed
1421424921,Biddy - Short FIlm,Film & Video,Shorts,Australia,7/11/2017 23:53,8/10/2017,3774,4126,63,Successful
1456791015,Dubstep DJ Wanted: Blowin' Up St Paul MN,Music,Music,United States,8/29/2011 11:16,10/8/2011,2500,25,1,Failed
849850412,ALICE SWEET ALICE--2012 U.S.TOUR,Music,Indie Rock,United States,1/4/2012 16:43,3/4/2012,2500,316,9,Failed
1987413060,"Mystical Sphynx Cat, Enamel Pin by Clorty Cat",Art,Illustration,United Kingdom,5/17/2017 16:46,6/7/2017,383,1817,116,Successful
28246025,Snagged | healthy hotdogs,Food,Food Trucks,Australia,8/19/2015 13:03,9/18/2015,29076,15,1,Failed
